"","122518","null"
"PcCom Custom Ryzen 9 9950X3D / 64GB / 4TB M.2 / RTX 5090 + Windows 11 Pro V4","14542","1"
"Procesador AMD Ryzen Threadripper PRO 7995WX 2.5/5.1GHz Box","14034","1"
"Tarjeta Gráfica Lenovo RTX 5880 Ada 48GB GDDR6 PCI Express x16 4.0","11913","1"
"PcCom Custom Ryzen 7 9800X3D / 64GB / 4TB SSD M.2 / RTX 5090 + Windows 11 Pro V3","10994","2"
"Portátil MSI Titan 18 HX AI A2XWJG-065IT Intel Core Ultra 9 285HX/96GB/4TB SSD/RTX 5090/18"" Teclado Italiano","10869","1"
"Ordenador Sobremesa PC Gaming Neo-PC AMD Ryzen 9 9900X3D 64GB DDR5 4TB SSD RTX 5080 + Monitor 27"" FHD","10749","1"
"PcCom Ready V2 AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 5060 Ti 16GB + Windows 11 Home","8736","5"
"Ordenador Sobremesa Epical-Q Taunz Evo AMD Ryzen 9 9950X3D/64GB/2TB SSD/RTX 5090","7986","1"
"Monitor Gaming MSI MPG 271QR QD-OLED X50 26.5"" 500Hz 0.03ms WQHD USB-C HDR True Black 500","4794","2"
